ANOMESREF;ELETRO;MARTCON/AGROVET;VAREJO ALIMENTAR E FARMA;TOTAL
202001;-0,58556602;0,74742046;-0,03270513;-0,07226250
202002;-0,35510906;0,47688310;0,58584466;0,30108568
202003;0,73012631;-0,01543724;0,54027957;0,52837015
202004;0,21096200;0,02172506;0,35345638;0,28346032
202005;5,07152004;1,27216625;0,15302042;1,07755459
202006;9,14364035;1,58895394;0,66265488;2,21907764
202007;1,86862028;2,41696913;1,04494752;1,47480463
202008;1,40691888;6,50118959;1,64094784;2,29273344
202009;0,89905475;9,31928051;1,29675502;2,33640624
202010;1,15349343;5,96296637;1,77117904;2,24465393
202011;0,69027417;3,33483408;0,58344934;1,06759162
202012;0,80045111;2,49829808;0,64436194;0,98379418
202101;0,68346009;2,84538577;0,51355325;0,89165061
202102;0,95777735;2,90186839;0,50281988;0,95393001
202103;1,09979253;3,66209881;1,10852342;1,47183234
202104;1,17956313;3,11469280;0,55112148;1,08845689
202105;1,65140347;2,81777101;0,61812746;1,21405474
202106;1,40871246;3,42258138;1,16818337;1,58268756
202107;0,38934821;1,66547226;2,45023077;1,85001663
202108;1,89821206;0,54299366;2,16457541;1,83184497
202109;1,65296665;-0,03560167;0,75608637;0,84143366
202110;-0,00141078;1,78820103;1,00683310;0,90166459
202111;0,70853458;-0,02164657;0,82886545;0,67215701
202112;0,53692094;-0,35697770;0,53168765;0,38944836
